	Date	Open	High	Low	Close
46	2020-06-09	3.25	3.32	3.21	3.22
47	2020-06-10	3.25	3.37	3.1	3.36
48	2020-06-11	3.24	3.33	3.04	3.08
49	2020-06-12	3.2	3.25	3.09	3.14
50	2020-06-15	3.0	3.15	2.93	3.12
51	2020-06-16	3.14	3.14	2.99	2.99
52	2020-06-17	2.97	3.07	2.97	3.02
53	2020-06-18	3.01	3.07	2.99	3.03
54	2020-06-19	3.15	3.36	3.14	3.28
55	2020-06-22	3.39	3.5	3.34	3.46
56	2020-06-23	3.55	3.64	3.5	3.59
57	2020-06-24	3.48	3.57	3.28	3.43
58	2020-06-25	3.45	3.65	3.42	3.65
59	2020-06-26	3.55	3.66	3.45	3.6
60	2020-06-29	3.82	3.97	3.81	3.97
61	2020-06-30	3.93	4.18	3.91	4.17
62	2020-07-01	4.4	4.46	4.25	4.45
63	2020-07-02	4.47	4.67	4.47	4.51
64	2020-07-06	4.67	4.75	4.6	4.72
65	2020-07-07	4.74	5.1	4.72	5.05
66	2020-07-08	5.35	5.8	5.28	5.79
67	2020-07-09	5.85	5.87	5.38	5.51
68	2020-07-10	5.85	5.97	5.68	5.82
69	2020-07-13	6.08	6.1	5.44	5.47
70	2020-07-14	5.73	6.04	5.69	6.04
71	2020-07-15	6.11	6.11	5.87	6.02
72	2020-07-16	6.01	6.05	5.76	5.83
73	2020-07-17	6.11	6.44	6.06	6.42
74	2020-07-20	6.66	6.74	6.45	6.56
75	2020-07-21	6.81	6.88	6.32	6.34
76	2020-07-22	6.46	6.48	6.23	6.42
77	2020-07-23	6.58	6.82	6.28	6.47
78	2020-07-24	6.78	7.06	6.69	7.03
79	2020-07-27	7.45	7.61	7.01	7.1
80	2020-07-28	7.1	7.22	6.88	7.09
81	2020-07-29	7.02	7.06	6.65	6.84
82	2020-07-30	6.63	6.84	6.35	6.38
83	2020-07-31	6.57	6.6	6.38	6.45
84	2020-08-03	6.5	6.52	6.15	6.35
85	2020-08-04	6.33	6.87	6.27	6.87
86	2020-08-05	7.06	7.21	6.73	6.9
87	2020-08-06	7.02	7.03	6.56	6.69
88	2020-08-07	6.52	6.62	6.25	6.39
89	2020-08-10	6.41	6.57	6.22	6.23
90	2020-08-11	5.9	6.0	5.69	5.74
91	2020-08-12	5.91	6.0	5.71	5.72
92	2020-08-13	5.8	6.03	5.77	5.93
93	2020-08-14	5.94	5.99	5.76	5.95
94	2020-08-17	6.17	6.3	6.12	6.25
95	2020-08-18	6.48	6.57	6.1	6.18
96	2020-08-19	6.11	6.18	5.84	5.9
97	2020-08-20	5.82	5.99	5.72	5.94
98	2020-08-21	5.78	5.86	5.67	5.76
99	2020-08-24	6.14	6.17	5.89	5.92
100	2020-08-25	5.9	5.9	5.61	5.79
101	2020-08-26	5.65	5.99	5.65	5.96
102	2020-08-27	6.16	6.16	5.67	5.75
103	2020-08-28	6.15	6.53	6.13	6.48
104	2020-08-31	6.6	6.71	6.45	6.48
105	2020-09-01	6.6	6.6	6.11	6.23
106	2020-09-02	6.05	6.05	5.83	6.03
107	2020-09-03	5.87	6.09	5.77	6.03
108	2020-09-04	5.97	6.04	5.67	5.95
109	2020-09-08	5.66	5.9	5.55	5.76
110	2020-09-09	5.91	6.27	5.91	6.25
111	2020-09-10	6.28	6.37	6.17	6.24
112	2020-09-11	6.3	6.41	5.91	6.0
113	2020-09-14	6.04	6.2	6.04	6.19
114	2020-09-15	6.53	6.62	6.31	6.36
115	2020-09-16	6.37	6.4	6.09	6.11
116	2020-09-17	5.79	5.84	5.69	5.77
117	2020-09-18	5.8	5.8	5.5	5.53
118	2020-09-21	5.31	5.43	5.18	5.29
119	2020-09-22	5.26	5.34	5.18	5.28
120	2020-09-23	5.15	5.19	4.95	4.99
121	2020-09-24	4.88	5.23	4.86	5.14
122	2020-09-25	5.09	5.19	5.03	5.12
123	2020-09-28	5.28	5.29	5.08	5.18
124	2020-09-29	5.33	5.46	5.28	5.42
125	2020-09-30	5.36	5.38	5.22	5.27
126	2020-10-01	5.34	5.41	5.26	5.29
127	2020-10-02	5.3	5.4	5.22	5.26
128	2020-10-05	5.39	5.57	5.31	5.41
129	2020-10-06	5.5	5.57	5.14	5.15
130	2020-10-07	5.19	5.3	5.09	5.23
131	2020-10-08	5.33	5.45	5.31	5.44
132	2020-10-09	5.67	5.96	5.65	5.96
133	2020-10-12	5.87	5.89	5.74	5.85
134	2020-10-13	5.76	5.81	5.64	5.77
135	2020-10-14	5.91	6.02	5.85	5.93
136	2020-10-15	5.75	5.83	5.7	5.76
137	2020-10-16	5.78	5.8	5.62	5.66
138	2020-10-19	5.76	5.76	5.49	5.49
139	2020-10-20	5.52	5.59	5.45	5.59
140	2020-10-21	5.67	5.92	5.67	5.78
141	2020-10-22	5.59	5.63	5.37	5.53
142	2020-10-23	5.39	5.41	5.21	5.3
143	2020-10-26	5.16	5.27	5.1	5.13
144	2020-10-27	5.14	5.27	5.09	5.27
145	2020-10-28	4.9	4.94	4.79	4.81
146	2020-10-29	4.76	4.96	4.72	4.88
147	2020-10-30	4.88	4.96	4.79	4.91
148	2020-11-02	5.06	5.25	4.98	5.24
149	2020-11-03	5.3	5.34	5.23	5.27
150	2020-11-04	5.27	5.36	5.16	5.19
151	2020-11-05	5.58	5.84	5.55	5.79
152	2020-11-06	5.9	5.92	5.75	5.83
153	2020-11-09	5.16	5.18	4.94	5.09
154	2020-11-10	5.1	5.21	5.01	5.02
155	2020-11-11	4.78	4.86	4.7	4.76
156	2020-11-12	4.62	4.78	4.62	4.69
157	2020-11-13	4.79	4.86	4.74	4.81
158	2020-11-16	4.71	4.78	4.64	4.71
159	2020-11-17	4.73	4.73	4.61	4.63
160	2020-11-18	4.63	4.68	4.55	4.56
161	2020-11-19	4.44	4.6	4.41	4.55
162	2020-11-20	4.6	4.66	4.57	4.66
163	2020-11-23	4.48	4.49	4.29	4.32
164	2020-11-24	4.04	4.22	4.01	4.16
165	2020-11-25	4.11	4.29	4.11	4.29
166	2020-11-27	4.1	4.27	4.07	4.24
167	2020-11-30	4.12	4.28	4.11	4.21
168	2020-12-01	4.4	4.6	4.39	4.55
169	2020-12-02	4.53	4.6	4.46	4.55
170	2020-12-03	4.47	4.49	4.35	4.42
171	2020-12-04	4.4	4.46	4.32	4.33
172	2020-12-07	4.29	4.53	4.27	4.47
173	2020-12-08	4.58	4.6	4.43	4.51
174	2020-12-09	4.35	4.39	4.16	4.22
175	2020-12-10	4.29	4.37	4.23	4.24
176	2020-12-11	4.22	4.28	4.12	4.14
177	2020-12-14	4.15	4.23	4.1	4.1
178	2020-12-15	4.29	4.48	4.28	4.48
179	2020-12-16	4.56	4.59	4.39	4.56
180	2020-12-17	4.72	4.86	4.71	4.81
181	2020-12-18	4.95	4.96	4.78	4.78
